user_id,consumption_time,amount
U000057,2024-12-19 02:48:45,76.33
U000089,2024-12-19 07:45:21,297.81
U000155,2024-12-19 13:35:16,332.19
U000129,2024-12-19 18:14:42,208.92
U000113,2024-12-19 20:00:59,111.51
U000127,2024-12-19 21:16:47,488.45
U000195,2024-12-19 21:21:33,280.06
U000194,2024-12-19 22:27:55,265.05
U000039,2024-12-20 05:34:33,212.24
U000105,2024-12-20 08:14:26,490.4
U000050,2024-12-20 12:16:48,368.97
U000017,2024-12-20 12:50:27,179.06
U000157,2024-12-20 13:17:19,113.94
U000039,2024-12-20 13:46:19,421.13
U000142,2024-12-20 14:12:38,295.63
U000148,2024-12-20 14:45:09,38.58
U000150,2024-12-20 14:49:54,335.48
U000058,2024-12-20 19:29:51,33.82
U000134,2024-12-20 20:24:48,162.81
U000076,2024-12-20 21:00:37,259.73
U000139,2024-12-20 21:35:49,459.22
U000074,2024-12-20 23:20:25,481.53
U000092,2024-12-20 23:51:02,149.13
U000101,2024-12-21 06:13:28,92.23
U000096,2024-12-21 09:32:49,407.71
U000167,2024-12-21 10:08:10,259.16
U000003,2024-12-21 10:23:53,55.28
U000187,2024-12-21 11:44:48,290.83
U000164,2024-12-21 14:21:42,268.06
U000028,2024-12-21 17:07:39,45.34
U000115,2024-12-21 19:08:49,283.58
U000085,2024-12-21 20:31:30,355.36
U000147,2024-12-21 20:50:36,369.17
U000196,2024-12-21 22:31:35,392.5
U000188,2024-12-21 23:15:57,379.2
U000163,2024-12-21 23:25:24,119.29
U000127,2024-12-22 02:29:20,249.81
U000160,2024-12-22 02:30:11,25.59
U000194,2024-12-22 02:39:03,368.77
U000057,2024-12-22 10:29:33,368.79
U000155,2024-12-22 11:05:40,309.13
U000001,2024-12-22 11:29:20,50.6
U000161,2024-12-22 11:41:48,488.9
U000161,2024-12-22 12:14:11,143.72
U000152,2024-12-22 14:54:10,426.57
U000108,2024-12-22 15:33:29,263.6
U000086,2024-12-22 16:18:43,163.99
U000046,2024-12-22 18:01:48,356.05
U000136,2024-12-22 18:03:27,446.61
U000118,2024-12-22 20:42:04,482.49
U000117,2024-12-22 21:24:23,266.14
U000079,2024-12-22 21:25:21,96.09
U000101,2024-12-22 21:49:01,184.73
U000179,2024-12-22 23:48:44,218.13
U000151,2024-12-23 05:40:29,100.79
U000024,2024-12-23 07:06:33,302.49
U000052,2024-12-23 09:47:03,389.16
U000076,2024-12-23 09:47:34,452.87
U000133,2024-12-23 11:47:32,326.45
U000168,2024-12-23 12:19:39,466.18
U000105,2024-12-23 12:29:25,227.55
U000028,2024-12-23 19:01:20,327.05
U000002,2024-12-23 19:24:09,79.48
U000066,2024-12-23 19:27:19,28.43
U000182,2024-12-23 19:37:24,181.91
U000079,2024-12-23 20:59:56,185.48
U000179,2024-12-23 21:49:01,81.68
U000013,2024-12-23 22:57:33,199.23
U000168,2024-12-23 23:13:37,447.95
U000129,2024-12-24 07:55:21,287.23
U000174,2024-12-24 09:21:34,471.88
U000163,2024-12-24 12:06:57,249.86
U000163,2024-12-24 12:54:38,267.57
U000153,2024-12-24 19:21:48,52.91
U000172,2024-12-24 20:53:14,483.13
U000115,2024-12-24 21:14:28,471.5
U000022,2024-12-24 21:18:45,78.66
U000092,2024-12-24 21:21:02,237.73
U000061,2024-12-24 22:29:33,46.03
U000048,2024-12-24 22:55:29,491.93
U000001,2024-12-24 23:11:09,67.56
U000115,2024-12-24 23:29:42,104.35
U000113,2024-12-24 23:44:12,339.47
U000077,2024-12-24 23:59:01,373.46
U000043,2024-12-25 03:29:22,239.11
U000134,2024-12-25 13:30:31,75.52
U000190,2024-12-25 14:42:25,50.05
U000183,2024-12-25 18:01:11,347.39
U000135,2024-12-25 18:28:39,489.62
U000128,2024-12-25 19:34:10,348.56
U000029,2024-12-25 19:55:25,458.63
U000134,2024-12-25 20:56:56,491.17
U000022,2024-12-25 22:59:37,346.0
U000115,2024-12-26 07:01:49,228.57
U000093,2024-12-26 07:06:17,462.39
U000130,2024-12-26 07:11:55,112.13
U000032,2024-12-26 09:28:32,147.94
U000138,2024-12-26 09:47:14,270.54
U000028,2024-12-26 13:03:20,475.62
U000178,2024-12-26 13:46:02,179.45
U000077,2024-12-26 14:06:54,64.94
U000095,2024-12-26 14:19:16,96.29
U000034,2024-12-26 14:42:55,385.55
U000162,2024-12-26 15:44:43,267.82
U000150,2024-12-26 18:00:43,149.48
U000077,2024-12-26 19:36:11,25.09
U000151,2024-12-26 19:40:56,182.8
U000052,2024-12-26 20:20:31,162.54
U000071,2024-12-26 21:19:43,28.02
U000191,2024-12-26 23:36:41,242.77
U000197,2024-12-27 09:43:40,134.94
U000148,2024-12-27 09:57:53,266.58
U000079,2024-12-27 14:47:21,306.66
U000026,2024-12-27 19:15:28,332.02
U000146,2024-12-27 22:19:46,26.91
U000120,2024-12-27 22:46:04,114.82
U000042,2024-12-27 22:51:11,112.22
U000053,2024-12-27 23:07:49,389.34
U000049,2024-12-27 23:15:23,275.5
U000090,2024-12-28 11:44:01,199.28
U000059,2024-12-28 11:44:15,420.17
U000047,2024-12-28 12:35:16,313.5
U000035,2024-12-28 13:42:59,497.05
U000105,2024-12-28 17:37:09,136.2
U000142,2024-12-28 17:44:35,132.42
U000051,2024-12-28 18:34:34,58.66
U000200,2024-12-28 19:07:27,75.31
U000195,2024-12-28 19:23:26,328.33
U000122,2024-12-28 21:48:45,214.85
U000190,2024-12-28 21:49:51,201.86
U000028,2024-12-28 22:00:34,474.15
U000162,2024-12-28 22:24:45,385.25
U000013,2024-12-28 23:33:10,462.72
U000073,2024-12-28 23:35:48,320.03
U000125,2024-12-28 23:51:27,51.49
U000051,2024-12-29 01:04:42,340.14
U000128,2024-12-29 04:24:19,188.35
U000007,2024-12-29 08:48:29,348.81
U000012,2024-12-29 09:19:23,232.73
U000060,2024-12-29 12:23:38,350.6
U000084,2024-12-29 12:55:22,299.06
U000168,2024-12-29 13:15:48,11.5
U000192,2024-12-29 13:42:37,149.05
U000145,2024-12-29 14:46:00,144.94
U000192,2024-12-29 15:25:08,344.14
U000033,2024-12-29 15:30:16,396.03
U000037,2024-12-29 17:18:51,100.51
U000137,2024-12-29 17:22:08,108.13
U000131,2024-12-29 17:39:05,58.08
U000004,2024-12-29 20:35:32,234.89
U000059,2024-12-29 21:10:05,483.04
U000043,2024-12-29 23:05:56,495.13
U000037,2024-12-30 00:14:22,437.2
U000179,2024-12-30 06:09:59,190.2
U000194,2024-12-30 12:23:44,463.08
U000094,2024-12-30 20:10:43,409.15
U000154,2024-12-30 21:48:13,283.71
U000137,2024-12-30 21:51:13,29.58
U000094,2024-12-30 22:09:47,114.52
U000189,2024-12-30 23:45:47,377.58
U000063,2024-12-31 02:12:11,43.64
U000153,2024-12-31 07:23:52,240.22
U000013,2024-12-31 07:38:48,431.43
U000002,2024-12-31 07:45:23,271.67
U000184,2024-12-31 08:22:06,372.91
U000172,2024-12-31 12:31:00,231.16
U000032,2024-12-31 12:41:22,303.89
U000143,2024-12-31 13:44:49,273.72
U000117,2024-12-31 18:08:00,433.98
U000093,2024-12-31 21:21:32,166.57
U000093,2024-12-31 22:18:43,23.14
U000132,2024-12-31 22:37:35,106.58
U000014,2024-12-31 23:50:32,383.55
