user_id,registration_date
U000040,2024-12-12 22:36:33
U000086,2024-12-12 22:58:37
U000162,2024-12-13 08:06:27
U000164,2024-12-13 12:49:13
U000104,2024-12-13 13:30:51
U000021,2024-12-13 20:39:27
U000117,2024-12-13 23:01:29
U000060,2024-12-14 08:04:01
U000063,2024-12-14 11:28:12
U000055,2024-12-14 16:57:30
U000191,2024-12-14 18:04:26
U000161,2024-12-14 20:41:53
U000002,2024-12-15 13:02:38
U000155,2024-12-15 15:17:04
U000145,2024-12-15 17:48:28
U000053,2024-12-15 20:56:19
U000016,2024-12-16 10:07:34
U000077,2024-12-16 13:32:09
U000147,2024-12-16 15:56:09
U000050,2024-12-16 19:43:01
U000028,2024-12-17 05:37:46
U000153,2024-12-17 09:17:07
U000101,2024-12-17 09:26:00
U000163,2024-12-17 12:05:23
U000149,2024-12-17 13:08:54
U000110,2024-12-17 14:09:16
U000116,2024-12-17 17:10:42
U000148,2024-12-17 18:26:37
U000095,2024-12-17 21:37:56
U000033,2024-12-18 05:45:30
U000160,2024-12-18 08:06:23
U000071,2024-12-18 13:19:21
U000167,2024-12-18 13:40:17
U000180,2024-12-18 13:58:03
U000079,2024-12-18 14:46:58
U000184,2024-12-18 19:58:27
U000082,2024-12-18 21:50:20
U000144,2024-12-18 22:55:26
U000158,2024-12-18 23:25:32
U000038,2024-12-19 07:09:46
U000172,2024-12-19 07:15:41
U000125,2024-12-19 07:32:17
U000141,2024-12-19 09:05:33
U000010,2024-12-19 14:01:25
U000133,2024-12-19 14:26:09
U000142,2024-12-19 14:39:09
U000130,2024-12-19 18:14:36
U000062,2024-12-19 19:15:36
U000121,2024-12-19 20:13:09
U000001,2024-12-19 21:11:13
U000126,2024-12-19 21:37:00
U000066,2024-12-20 07:02:09
U000111,2024-12-20 10:40:02
U000091,2024-12-20 18:49:15
U000064,2024-12-20 18:50:29
U000087,2024-12-20 19:21:18
U000102,2024-12-20 23:31:21
U000154,2024-12-21 10:40:53
U000100,2024-12-21 16:05:54
U000012,2024-12-21 16:45:48
U000073,2024-12-21 19:00:45
U000013,2024-12-21 20:13:04
U000056,2024-12-21 20:48:29
U000024,2024-12-21 21:27:11
U000075,2024-12-22 11:12:38
U000157,2024-12-22 11:38:53
U000045,2024-12-22 13:15:14
U000173,2024-12-22 13:40:06
U000115,2024-12-22 18:46:07
U000113,2024-12-22 19:42:40
U000187,2024-12-22 23:56:41
U000128,2024-12-23 03:12:51
U000188,2024-12-23 09:23:04
U000069,2024-12-23 12:00:39
U000182,2024-12-23 12:34:21
U000037,2024-12-23 13:12:16
U000139,2024-12-23 19:20:46
U000011,2024-12-23 22:00:17
U000065,2024-12-23 23:45:24
U000170,2024-12-24 07:10:46
U000165,2024-12-24 07:49:28
U000143,2024-12-24 14:13:09
U000192,2024-12-24 21:14:48
U000107,2024-12-24 21:56:33
U000159,2024-12-24 21:58:31
U000089,2024-12-25 07:43:30
U000194,2024-12-25 11:32:59
U000179,2024-12-25 18:32:49
U000083,2024-12-25 18:39:13
U000150,2024-12-25 18:56:41
U000200,2024-12-25 19:12:46
U000044,2024-12-25 19:23:59
U000138,2024-12-25 19:29:06
U000096,2024-12-25 21:12:19
U000054,2024-12-25 23:32:15
U000186,2024-12-26 07:31:48
U000047,2024-12-26 12:32:43
U000072,2024-12-26 14:14:19
U000019,2024-12-26 22:13:43
U000183,2024-12-26 22:19:21
U000097,2024-12-27 12:19:50
U000193,2024-12-27 14:25:38
U000118,2024-12-27 14:30:26
U000136,2024-12-27 18:53:22
U000176,2024-12-27 19:52:08
U000166,2024-12-27 20:14:55
U000032,2024-12-27 20:42:34
U000137,2024-12-27 22:23:10
U000090,2024-12-27 23:09:28
U000135,2024-12-28 04:45:23
U000006,2024-12-28 05:43:47
U000035,2024-12-28 09:42:23
U000199,2024-12-28 12:26:14
U000084,2024-12-28 12:39:02
U000127,2024-12-28 13:08:40
U000004,2024-12-28 14:41:15
U000042,2024-12-28 19:06:02
U000109,2024-12-28 21:08:55
U000059,2024-12-28 21:34:24
U000119,2024-12-28 22:35:57
U000025,2024-12-29 13:52:31
U000098,2024-12-29 14:07:26
U000088,2024-12-29 22:17:33
U000048,2024-12-30 06:08:15
U000018,2024-12-30 12:04:32
U000146,2024-12-30 15:36:46
U000020,2024-12-30 19:43:10
U000175,2024-12-30 21:31:27
U000140,2024-12-31 20:45:56
